descriere,pretAchizitie,pretVanzare,manopera
Cablu electric N2XH 2x1.5mmp,0.14,0.17,0.24
"Tub izolant de protectie LZOH, etans IPEY 20 , inclusiv coturi si mufe  - materiale si montaj",0.12,0.15,0.16
Doze de conexiuni 150x150,0.69,0.86,0.99
Dibluri si holtzsuruburi D=6 sau 8mm,0.01,0.01,0.02
Etichete cabluri ,1.97,2.47,3.94
"Izolatie rezistenta la foc F90 pentru  trecerea cablurilor  prin pereti si plafoane, complet cu toate accesoriile necesare pentru diametre de pana la 150mm.  ",2.37,2.96,2.96
Cablu N2XH 3x2.5mm2,0.18,0.22,0.24
Cablu N2XH 3x0.75mm2,0.12,0.15,0.24
Cablu N2XH 2x0.75mm2,0.10,0.12,0.24
Cablu N2XH 2x0.5mm2,0.09,0.11,0.24
Cablu SFTP 8x0.22mm2,0.11,0.14,0.24
Cablu SFTP cat 6a,0.12,0.15,0.24
Cablu comuncatie RS485,0.10,0.12,0.24
Cablu comunicatie JH(ST)H-2x2x0.8 -modbus,0.12,0.15,0.24
Cablu N2XH 3x4mm2,0.30,0.37,0.30
Senzor de temperatura interioara ,49.30,61.63,3.94
Senzor de temperatura exterioara,49.30,61.63,3.94
Senzor inundatie digital,35.50,44.37,3.94
"Țeavă de protecție din PVC HF, flexibilă sau rigidă, montată în elementele de construcție, sub tencuiala pereților, în pereți prefabricați, sau sub planșeu, inclusiv lucrările de zidărie și accesorii precum si cutiile de conectare diametru 16mm",0.09,0.11,0.16
"Cablu pentru energie electrica, montat liber prin asezare (fara dispozitive de fixare) cablul avand conducte cu sectiunea de ... pana la 16 mmp, montat pe fundul canalelor",1.32,1.65,1.50
"Cablu pentru energie electrica, montat liber prin asezare (fara dispozitive de fixare) cablul avand conducte cu sectiunea de ... pana la 16 mmp, montat pe fundul canalelor",2.96,3.70,1.50
"Cablu pentru energie electrica, montat liber prin asezare (fara dispozitive de fixare) cablul avand conducte cu sectiunea de ... pana la 16 mmp, montat pe fundul canalelor",0.80,1.00,1.50
"Cablu pentru energie electrica, montat liber prin asezare (fara dispozitive de fixare) cablul avand conducte cu sectiunea de ... pana la 16 mmp, montat pe fundul canalelor",0.70,0.88,1.50
"Tub izolant IP, din policlorura de vinil neplastifiata, IPY, montat îngropat sau aparent, având diametrul exterior de ... 13 mm, montat îngropat",0.50,0.63,0.80
"Grup electrogen 25KVA, inclusiv AAR-GE, Disjunctor si carcasa pentru montaj in exterior.",6000.00,7500.00,0.00
